City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Harper,LR,4.375,-7.7169,80.08,80,51,10.31,broken clouds
157,Alice Town,BS,25.7167,-79.3,74.23,76,31,7.07,scattered clouds
158,Qingdao,CN,36.0986,120.3719,40.15,67,6,2.35,clear sky
159,Egvekinot,RU,66.3167,-179.1667,-21.6,86,3,8.16,clear sky
160,Tarauaca,BR,-8.1614,-70.7656,82.98,73,100,1.63,heavy intensity rain
161,Grants Pass,US,42.439,-123.3284,64.36,76,0,0.0,clear sky
162,Moengo,SR,5.6167,-54.4,77.45,90,52,5.23,broken clouds
163,Yellowknife,CA,62.456,-114.3525,-8.72,93,100,4.63,overcast clouds
164,Santa Rosalia,MX,27.3167,-112.2833,71.04,24,0,4.43,clear sky
165,Tuktoyaktuk,CA,69.4541,-133.0374,-23.28,100,49,5.79,scattered clouds
166,Bengkulu,ID,-3.8004,102.2655,74.12,88,100,4.59,overcast clouds
167,Cleethorpes,GB,53.5605,-0.0323,42.1,83,91,11.97,overcast clouds
168,Saint Anthony,US,45.0205,-93.218,20.8,65,100,20.71,overcast clouds
169,Brigantine,US,39.4101,-74.3646,63.32,58,0,18.41,clear sky
170,Tiksi,RU,71.6872,128.8694,-12.01,94,99,15.28,overcast clouds
171,Hwange,ZW,-18.3693,26.5019,68.47,91,100,1.66,overcast clouds
172,Padang,ID,-0.9492,100.3543,77.27,79,100,4.18,heavy intensity rain
173,Bethel,US,41.3712,-73.414,56.28,43,0,12.66,clear sky
174,Lorengau,PG,-2.0226,147.2712,81.73,77,100,10.6,overcast clouds
175,Ostrovnoy,RU,68.0531,39.5131,20.73,93,100,9.62,overcast clouds
176,Tuatapere,NZ,-46.1333,167.6833,57.81,76,42,6.4,scattered clouds
177,Keetmanshoop,NA,-26.5833,18.1333,77.88,53,100,14.14,light rain
178,Ulladulla,AU,-35.35,150.4667,61.09,88,94,11.14,overcast clouds
179,Urumqi,CN,43.801,87.6005,5.95,92,40,2.24,mist
180,Mucuri,BR,-18.0864,-39.5508,81.12,71,54,9.95,broken clouds
