City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cardston,CA,2022-02-01 22:00:28,49.2,-113.3019,0.45,89,100,9.86
70,Srednekolymsk,RU,2022-02-01 22:04:06,67.45,153.6833,-15.41,95,97,5.17
71,Leatherhead,GB,2022-02-01 22:01:46,51.2959,-0.3259,52.93,83,40,5.99
72,Lompoc,US,2022-02-01 22:04:07,34.6391,-120.4579,69.69,30,0,19.57
73,Saint-Denis,FR,2022-02-01 22:04:07,48.9167,2.3333,51.96,88,100,7.0
74,Kruisfontein,ZA,2022-02-01 22:04:07,-34.0033,24.7314,73.89,67,100,5.41
75,Vardo,NO,2022-02-01 22:00:30,70.3705,31.1107,17.8,85,20,5.75
76,Alberton,CA,2022-02-01 22:01:07,46.8168,-64.0654,0.43,94,34,3.47
77,Kyren,RU,2022-02-01 22:04:08,51.6828,102.1408,-1.41,91,54,1.83
78,Avarua,CK,2022-02-01 22:02:05,-21.2078,-159.775,82.45,78,20,12.66
79,Barrow,US,2022-02-01 21:58:51,71.2906,-156.7887,-16.58,69,40,5.75
80,Hobart,AU,2022-02-01 21:59:35,-42.8794,147.3294,58.12,51,40,1.01
81,Victoria,HK,2022-02-01 22:03:53,22.2855,114.1577,60.94,94,100,4.0
82,Guarapari,BR,2022-02-01 22:00:32,-20.6667,-40.4975,81.9,90,96,0.58
83,Paramonga,PE,2022-02-01 22:04:09,-10.6667,-77.8333,73.92,74,71,9.22
84,Haines Junction,CA,2022-02-01 22:04:09,60.7522,-137.5108,-14.12,96,99,0.94
85,Dongkan,CN,2022-02-01 22:04:10,33.9997,119.8308,31.6,57,100,4.14
86,Mount Gambier,AU,2022-02-01 22:02:01,-37.8333,140.7667,58.15,51,61,9.66
87,Sosnovo-Ozerskoye,RU,2022-02-01 22:04:10,52.5249,111.5418,-28.1,100,97,2.17
88,Kelvington,CA,2022-02-01 22:03:06,52.1667,-103.5343,-11.54,94,99,12.73
89,Antofagasta,CL,2022-02-01 22:04:10,-23.65,-70.4,69.08,70,2,8.03
90,Noumea,NC,2022-02-01 22:03:38,-22.2763,166.4572,80.58,72,97,5.64
91,Tasiilaq,GL,2022-02-01 22:04:11,65.6145,-37.6368,12.36,72,89,6.2
92,Great Yarmouth,GB,2022-02-01 22:05:11,52.6083,1.7305,50.22,77,54,22.7
93,Dikson,RU,2022-02-01 22:05:12,73.5069,80.5464,3.81,93,100,17.94
94,Honiara,SB,2022-02-01 22:05:12,-9.4333,159.95,82.98,78,91,4.27
95,Trat,TH,2022-02-01 22:05:12,12.5,102.5,83.98,95,19,0.2
96,Luxor,EG,2022-02-01 22:05:13,25.6989,32.6421,54.03,53,0,4.18
97,Flin Flon,CA,2022-02-01 22:05:13,54.7682,-101.865,-7.56,85,100,11.16
98,Cayenne,GF,2022-02-01 22:05:13,4.9333,-52.3333,71.64,100,100,5.75
99,Faya,SA,2022-02-01 22:05:14,18.3851,42.4509,54.12,64,12,4.43
100,Semey,KZ,2022-02-01 22:05:14,50.4111,80.2275,-3.37,87,23,7.74
101,Faanui,PF,2022-02-01 22:05:14,-16.4833,-151.75,80.56,76,11,19.73
102,Thompson,CA,2022-02-01 22:05:15,55.7435,-97.8558,-13.99,85,67,11.23
103,Hambantota,LK,2022-02-01 22:03:31,6.1241,81.1185,73.74,94,20,8.05
104,Bredasdorp,ZA,2022-02-01 22:00:56,-34.5322,20.0403,74.28,80,4,1.21
105,Bulawayo,ZW,2022-02-01 22:05:15,-20.15,28.5833,67.57,76,95,8.25
106,Chokurdakh,RU,2022-02-01 22:05:15,70.6333,147.9167,-15.47,95,100,4.38
107,Bilibino,RU,2022-02-01 22:05:16,68.0546,166.4372,4.73,64,100,6.38
108,Balykshi,KZ,2022-02-01 22:05:16,47.0667,51.8667,32.0,100,100,0.0
109,Karatsu,JP,2022-02-01 22:05:16,33.4425,129.9697,34.03,56,3,2.39
110,Sinnamary,GF,2022-02-01 22:05:17,5.3833,-52.95,77.4,86,99,13.71
111,Arbagar,RU,2022-02-01 22:05:17,51.9438,116.2805,-26.68,100,53,1.63
112,Arraial Do Cabo,BR,2022-02-01 22:00:45,-22.9661,-42.0278,76.96,89,84,1.16
113,Itarema,BR,2022-02-01 22:05:18,-2.9248,-39.9167,80.4,78,100,15.05
114,Broken Hill,AU,2022-02-01 22:05:18,-31.95,141.4333,59.7,54,98,23.85
115,Luderitz,NA,2022-02-01 22:05:18,-26.6481,15.1594,64.65,88,41,4.56
116,Airai,TL,2022-02-01 22:05:18,-8.9266,125.4092,59.54,83,65,3.42
117,Asfi,MA,2022-02-01 22:05:19,32.2994,-9.2372,59.4,50,0,15.17
118,Aktash,RU,2022-02-01 22:05:19,50.3,87.7333,-15.74,95,76,3.74
119,Sao Joao Da Barra,BR,2022-02-01 22:02:08,-21.6403,-41.0511,76.39,90,91,4.65
